app_id,genre
221680,Simulation
221910,Adventure
221910,Indie
222140,Action
222140,Indie
222140,Simulation
222180,Action
222180,Indie
222420,Action
222480,Action
222480,Adventure
222640,Adventure
222640,Strategy
222660,Action
222660,Indie
222730,Indie
222730,Simulation
222730,Strategy
222750,Indie
222750,Simulation
222750,Strategy
222880,Action
222880,Indie
222880,Strategy
222940,Action
222980,Action
222980,Indie
222980,RPG
223100,Action
223100,Adventure
223220,Action
223220,Indie
223330,RPG
223410,Indie
223410,Massively Multiplayer
223410,RPG
223430,Action
223430,Adventure
223430,Indie
223430,RPG
223430,Simulation
223450,Action
223450,Indie
223450,Racing
223490,Casual
223490,Indie
223490,RPG
223490,Simulation
223490,Strategy
223490,Early Access
223510,Action
223510,Adventure
223510,Indie
223630,Action
223630,Free to Play
223630,Indie
223630,RPG
223630,Strategy
223730,Action
223730,Adventure
223730,Indie
223810,Action
223810,Adventure
223810,RPG
223830,Indie
223830,Simulation
223830,Strategy
224040,Action
224040,Adventure
224040,Casual
224040,Racing
224260,Action
224260,Indie
224260,Free to Play
224300,Action
224300,Adventure
224460,Adventure
224460,Indie
224480,Action
224480,Adventure
224480,Indie
224500,Indie
224500,Simulation
224500,Strategy
224900,Action
224900,Simulation
224900,Strategy
224920,Action
224920,Adventure
224940,Action
224940,Adventure
224960,Action
224960,Adventure
224980,Action
224980,Adventure
225080,Action
225080,Adventure
225080,Indie
225160,Action
225260,Action
225260,Adventure
225260,Strategy
225280,Action
225280,Indie
225280,RPG
225360,Action
225360,RPG
225420,Simulation
225420,Strategy
225540,Action
225540,Adventure
225600,Action
225600,Indie
225640,RPG
226100,Action
226100,Casual
226100,Indie
226100,Strategy
226280,Adventure
226280,Indie
226560,Adventure
226700,Action
226700,Free to Play
226700,Indie
226700,Massively Multiplayer
226700,RPG
226720,Action
226740,Adventure
226740,Casual
226740,Indie
226740,RPG
226740,Simulation
226780,Racing
226780,Sports
226820,Adventure
226860,Strategy
226960,Casual
226960,Indie
226960,Strategy
227020,Simulation
227020,Strategy
227060,Indie
227060,RPG
227060,Simulation
227060,Strategy
227080,Adventure
227080,Casual
227080,Indie
227100,Action
227160,Action
227160,Indie
227160,Simulation
227200,Action
227200,Adventure
227200,Indie
227220,Action
227220,Adventure
227220,Indie
227220,RPG
227220,Strategy
227300,Indie
227300,Simulation
227380,Action
227380,Adventure
227380,Casual
227560,Action
227560,Indie
227580,Action
227580,Casual
227580,Indie
227580,RPG
227760,Simulation
227760,Strategy
227780,Action
227780,Indie
227800,Action
227800,Indie
228280,Adventure
228280,RPG
228300,Action
228300,Adventure
228400,Action
228400,Simulation
228960,Indie
228960,Strategy
229520,Casual
229520,Indie
229520,Strategy
229580,Adventure
229580,Indie
229870,Action
229890,Action
229890,Casual
229890,Indie
229890,Racing
230050,Indie
230070,Indie
230070,RPG
230150,Action
230150,Adventure
230150,Casual
230150,Indie
230150,Simulation
230270,Action
230290,Casual
230290,Indie
230290,Simulation
230290,Early Access
230820,Adventure
230820,Indie
230840,Action
230840,Adventure
230840,Casual
230840,Indie
230860,Action
230860,Adventure
230860,Indie
230860,Strategy
230980,Adventure
230980,Indie
231140,Simulation
231160,Action
231160,Adventure
231160,Indie
231200,Adventure
231200,Indie
231310,Adventure
231310,Indie
231330,Action
231330,Adventure
231430,Strategy
231910,Action
231910,Adventure
231910,Casual
232010,Indie
232010,Simulation
232050,Indie
232050,RPG
232050,Strategy
232090,Action
232430,Adventure
232430,Indie
232750,Action
232750,RPG
232790,Adventure
232790,Casual
232790,Indie
232970,Action
232970,Casual
232970,Indie
233130,Action
233130,Adventure
233150,Action
233150,Indie
233150,Simulation
233190,Action
233190,Indie
233230,Adventure
233230,Indie
233310,Indie
233310,RPG
233310,Strategy
233450,Indie
233450,Simulation
233450,Strategy
233470,Adventure
233470,Indie
233470,RPG
233550,Action
233550,Adventure
233610,Action
233610,Indie
233610,Racing
233700,Casual
233700,Indie
233700,RPG
233700,Strategy
233720,Action
233720,Indie
233720,Simulation
233840,Strategy
233860,Action
233860,Indie
233860,RPG
233860,Simulation
233860,Strategy
233980,Action
233980,Indie
233980,RPG
234140,Action
234140,Adventure
234160,Action
234160,Indie
234190,Action
234190,Indie
234190,Simulation
234390,Action
234390,Indie
234510,Action
234670,Action
234670,Adventure
234710,Casual
234710,Sports
234920,Adventure
234920,Casual
234920,Indie
234920,Simulation
234940,Adventure
234940,Casual
234940,Indie
235210,Action
235210,Adventure
235250,Casual
235250,Indie
235250,Strategy
235320,Indie
235320,Strategy
235360,Casual
235360,Indie
235360,RPG
235360,Strategy
235540,Action
235540,Indie
235600,Action
235600,Adventure
235620,Casual
235620,Indie
235620,Strategy
235660,Indie
235660,Strategy
235800,Indie
235820,Action
235820,Indie
235980,Casual
235980,Indie
236090,Action
236090,Adventure
236090,Indie
236090,RPG
236110,Action
236110,Indie
236110,RPG
236110,Strategy
236110,Free to Play
236130,Adventure
236130,Indie
236130,Simulation
236130,Strategy
236130,Free to Play
236370,Action
236370,Indie
236370,RPG
236370,Simulation
236370,Early Access
236390,Action
236390,Massively Multiplayer
236390,Simulation
236390,Free to Play
236430,Action
236430,RPG
236510,Action
236510,Simulation
236510,Strategy
236690,Sports
236690,Strategy
236730,Action
236730,Indie
236730,Strategy
236850,Simulation
236850,Strategy
236930,Adventure
236930,Indie
236970,Adventure
237350,Indie
237350,Sports
237350,Strategy
237470,Strategy
237550,Adventure
237550,Indie
237550,RPG
237570,Indie
237570,RPG
237630,Action
237630,Adventure
237630,Casual
237740,Action
237740,Adventure
237740,Indie
237760,Action
237760,Indie
237850,Adventure
237850,Indie
237870,Action
237870,Adventure
237870,Indie
237870,RPG
237870,Simulation
237890,Adventure
237890,RPG
237890,Strategy
237930,Action
237930,Indie
237930,RPG
237950,Indie
237950,Strategy
237970,Adventure
237970,Indie
238010,Action
238010,RPG
238050,Action
238090,Action
238090,Adventure
238240,Action
238240,Adventure
238240,Indie
238240,RPG
238260,Free to Play
238260,Simulation
238280,Action
238280,Indie
238280,RPG
238370,Action
238370,Adventure
238530,Action
238530,Casual
238530,Indie
238630,Action
238630,Indie
238750,RPG
238890,Indie
238890,Simulation
238890,Strategy
239030,Adventure
239030,Indie
239120,RPG
239140,Action
239140,RPG
239160,Action
239160,Adventure
239200,Action
239200,Adventure
239200,Indie
239430,Action
239430,Adventure
239430,Indie
239700,Indie
239840,Indie
239840,RPG
239840,Strategy
240360,Action
240360,Adventure
240360,Casual
240620,Action
240620,Adventure
240620,Indie
240620,RPG
240660,Action
240660,Adventure
240660,Indie
240760,Adventure
240760,Indie
240760,RPG
240760,Strategy
240970,Action
240970,Indie
240970,RPG
241000,Indie
241000,Strategy
241240,Casual
241240,Indie
241240,Simulation
241260,Adventure
241320,Adventure
241320,Indie
241540,Action
241540,RPG
241540,Simulation
241560,Action
241560,Massively Multiplayer
241560,Racing
241620,Indie
241620,RPG
241760,Action
241760,Adventure
241760,Indie
242050,Action
242050,Adventure
242110,Action
242110,Casual
242110,Indie
242110,Racing
242530,Action
242550,Action
242550,Adventure
242570,Indie
242570,Strategy
242640,Action
242680,Action
242680,Indie
242680,RPG
242700,Action
242720,Action
242720,Free to Play
242720,Indie
242760,Action
242760,Adventure
242760,Indie
242760,Simulation
242780,Adventure
242780,Indie
242820,Action
242820,Indie
242980,Action
243000,RPG
243060,Action
243120,Action
243120,Adventure
243120,Indie
243220,Adventure
